IndustryTop,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Accommodation and  Leisure,0.00,4915.41,7573.05,15525.22,21088.70,44709.76,97178.15,176754.81,283789.35,448872.92,616478.92,783411.36,901280.37,1027404.08,1023271.82,1106923.42,1188156.76,1372385.96,1469990.44,1237545.39,1220786.10,1236098.23,1219018.61,1339868.14,1260887.12,1032233.38,847859.73,699784.71,271814.17
Building and Construction,,3402.95,7098.30,15101.44,32881.90,49416.18,98358.70,162270.95,255036.70,345728.57,410546.38,495510.23,462741.13,446993.67,448933.26,478154.85,500323.40,578033.50,666297.62,727689.04,638238.14,561463.24,566037.24,584550.52,588663.03,469292.48,365944.51,348872.58,140997.56
Health and Beauty,,873.09,462.66,2850.07,5843.98,8593.46,18616.18,40196.61,68054.22,107534.10,147266.88,158471.30,182533.91,193932.47,214749.39,232871.41,269365.63,262983.44,280525.56,299425.45,273759.74,259337.71,237649.06,242937.91,246955.52,221890.45,178009.16,174062.53,70547.66
Home and Garden,734.09,2095.48,3241.62,14037.12,29801.55,45450.05,69121.36,113706.83,190286.68,288965.19,341163.31,416742.60,427543.21,441431.52,476112.46,511519.69,467711.53,504859.12,491443.62,515251.30,511708.94,482778.64,511846.91,493909.41,478019.12,444226.25,350258.33,287825.87,111367.30
Manufacturing Farm and  Animals,,701.28,557.64,3210.00,5425.34,7829.13,11465.38,17930.81,37133.37,53804.97,74479.80,75864.78,79434.83,70770.18,82201.45,92771.49,78510.83,93044.04,92985.91,62540.75,72737.39,84576.06,72105.74,82585.39,45385.67,55113.93,66566.44,41441.38,17505.99
Mechanical  Electrical and Transport,0.00,4207.06,14283.19,47335.65,70556.99,93013.91,158499.92,259979.34,402175.85,565404.80,708014.89,784551.27,803263.91,739756.48,761909.32,739580.25,779905.46,838480.14,826534.94,724988.75,684117.01,628844.35,614447.67,582468.16,538305.76,457897.36,376872.52,371809.77,123066.53
Media and Advertising,64.69,3142.07,24144.53,44466.35,44355.52,84277.62,126822.13,216357.05,314448.91,391956.10,468086.67,471066.74,455628.58,437563.15,467227.13,446215.92,482663.68,526265.94,517506.41,488207.41,495551.58,480215.43,471289.74,474362.92,436916.41,412288.93,300149.71,252079.46,126280.70
Professional,284.72,2451.95,3063.44,13115.26,29149.15,26755.39,54690.93,133146.32,234406.22,294069.07,335142.40,386106.45,407344.94,425590.90,431462.43,403633.71,461067.92,500578.48,538075.43,492945.42,531553.55,447046.77,423998.49,486571.71,389030.09,339825.56,246372.80,224001.52,85877.26
Retail,0.00,4147.86,6263.17,13924.87,28193.21,46534.33,90385.75,150440.67,271241.79,366563.59,418211.15,446950.52,435978.91,423149.54,460029.69,464208.83,465940.56,483572.06,479628.51,403238.98,389391.86,379497.34,397819.38,373720.24,354997.09,277055.56,246589.40,200589.89,69585.84
